mu,n,m,alpha,mutation_operator,diversity_threshold,diversity_operator,generations,max_generations,diversity,fitness,opt,starting_robustness,ending_robustness,generation_ratio
2,5,1,0.3,1RAI,0.0,eucl,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,1RAI,0.0,sum,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,1RAI,0.05,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.05,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.1,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.1,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.15,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.15,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.2,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.2,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.25,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.25,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.3,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.3,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.35,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.35,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.4,eucl,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.4,sum,1.46,100.0,0.5,0.02,0.02,0.22,0.32,0.0146
2,5,1,0.3,1RAI,0.45,eucl,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.45,sum,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.5,eucl,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.5,sum,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.55,eucl,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.55,sum,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.6,eucl,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.6,sum,2.18,100.0,0.6559999999999999,0.2,0.02,0.22,0.32,0.0218
2,5,1,0.3,1RAI,0.65,eucl,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.65,sum,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.7,eucl,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.7,sum,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.75,eucl,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.75,sum,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.8,eucl,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.8,sum,4.48,100.0,0.8640000000000001,0.3,0.02,0.22,0.38,0.044800000000000006
2,5,1,0.3,1RAI,0.85,eucl,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,0.85,sum,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,0.9,eucl,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,0.9,sum,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,0.95,eucl,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,0.95,sum,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,1.0,eucl,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,1RAI,1.0,sum,6.86,100.0,1.0,0.44,0.02,0.22,0.34,0.06860000000000001
2,5,1,0.3,XRAI_0.10,0.0,eucl,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,XRAI_0.10,0.0,sum,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,XRAI_0.10,0.05,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.05,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.1,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.1,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.15,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.15,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.2,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.2,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.25,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.25,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.3,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.3,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.35,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.35,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.4,eucl,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.4,sum,1.32,100.0,0.524,0.02,0.02,0.22,0.34,0.0132
2,5,1,0.3,XRAI_0.10,0.45,eucl,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.45,sum,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.5,eucl,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.5,sum,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.55,eucl,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.55,sum,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.6,eucl,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.6,sum,1.98,100.0,0.636,0.12,0.02,0.22,0.28,0.019799999999999998
2,5,1,0.3,XRAI_0.10,0.65,eucl,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.65,sum,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.7,eucl,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.7,sum,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.75,eucl,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.75,sum,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.8,eucl,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.8,sum,4.32,100.0,0.8560000000000001,0.26,0.02,0.22,0.32,0.0432
2,5,1,0.3,XRAI_0.10,0.85,eucl,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,0.85,sum,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,0.9,eucl,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,0.9,sum,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,0.95,eucl,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,0.95,sum,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,1.0,eucl,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_0.10,1.0,sum,7.22,100.0,1.0,0.36,0.02,0.22,0.38,0.0722
2,5,1,0.3,XRAI_1.00,0.0,eucl,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,XRAI_1.00,0.0,sum,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.3,XRAI_1.00,0.05,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.05,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.1,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.1,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.15,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.15,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.2,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.2,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.25,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.25,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.3,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.3,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.35,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.35,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.4,eucl,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.4,sum,1.32,100.0,0.628,0.02,0.02,0.22,0.32,0.0132
2,5,1,0.3,XRAI_1.00,0.45,eucl,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.45,sum,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.5,eucl,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.5,sum,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.55,eucl,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.55,sum,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.6,eucl,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.6,sum,1.6,100.0,0.7120000000000001,0.08,0.02,0.22,0.32,0.016
2,5,1,0.3,XRAI_1.00,0.65,eucl,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.65,sum,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.7,eucl,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.7,sum,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.75,eucl,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.75,sum,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.8,eucl,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.8,sum,3.02,100.0,0.8760000000000001,0.18,0.02,0.22,0.34,0.0302
2,5,1,0.3,XRAI_1.00,0.85,eucl,5.04,100.0,1.0,0.32,0.02,0.22,0.34,0.0504
